year,actor
2013,Jonah Hill 
2008,Josh Brolin 
1999,Jude Law 
2003,Jude Law 
1997,Judi Dench 
1998,Judi Dench 
2000,Judi Dench 
2001,Judi Dench 
2005,Judi Dench 
2006,Judi Dench 
2013,Judi Dench 
1992,Judy Davis 
1990,Julia Roberts 
2000,Julia Roberts 
2013,Julia Roberts 
1997,Julianne Moore 
1999,Julianne Moore 
2002,Julianne Moore 
2002,Julianne Moore 
2014,Julianne Moore 
1997,Julie Christie 
2007,Julie Christie 
2000,Julie Walters 
1996,Juliette Binoche 
2000,Juliette Binoche 
1991,Juliette Lewis 
2013,June Squibb 
2000,Kate Hudson 
1991,Kate Nelligan 
1995,Kate Winslet 
1997,Kate Winslet 
2001,Kate Winslet 
2004,Kate Winslet 
2006,Kate Winslet 
2008,Kate Winslet 
2015,Kate Winslet 
1995,Kathleen Quinlan 
1990,Kathy Bates 
1998,Kathy Bates 
2002,Kathy Bates 
2005,Keira Knightley 
2014,Keira Knightley 
2003,Keisha Castle
2003,Ken Watanabe 
2011,Kenneth Branagh 
1990,Kevin Costner 
1995,Kevin Spacey 
1999,Kevin Spacey 
1997,Kim Basinger 
1996,Kristin Scott Thomas 
1991,Laura Dern 
2014,Laura Dern 
2000,Laura Linney 
2004,Laura Linney 
2007,Laura Linney 
1996,Lauren Bacall 
1993,Laurence Fishburne 
1993,Leonardo DiCaprio 
2004,Leonardo DiCaprio 
2006,Leonardo DiCaprio 
2013,Leonardo DiCaprio 
2015,Leonardo DiCaprio 
1993,Liam Neeson 
1990,Lorraine Bracco 
2013,Lupita Nyong'o 
1998,Lynn Redgrave 
2009,Maggie Gyllenhaal 
2001,Maggie Smith 
2000,Marcia Gay Harden 
2003,Marcia Gay Harden 
1995,Mare Winningham 
1996,Marianne Jean
2007,Marion Cotillard 
2014,Marion Cotillard 
1992,Marisa Tomei 
2001,Marisa Tomei 
2008,Marisa Tomei 
2010,Mark Ruffalo 
2014,Mark Ruffalo 
2015,Mark Ruffalo 
2015,Mark Rylance 
2006,Mark Wahlberg 
1994,Martin Landau 
1990,Mary McDonnell 
1992,Mary McDonnell 
1995,Massimo Troisi 
1997,Matt Damon 
2009,Matt Damon 
2015,Matt Damon 
2005,Matt Dillon 
2013,Matthew McConaughey 
2011,Max von Sydow 
2008,Melissa Leo 
2010,Melissa Leo 
2011,Melissa McCarthy 
1991,Mercedes Ruehl 
1990,Meryl Streep 
1995,Meryl Streep 
1998,Meryl Streep 
1999,Meryl Streep 
2002,Meryl Streep 
2006,Meryl Streep 
2008,Meryl Streep 
2009,Meryl Streep 
2011,Meryl Streep 
2013,Meryl Streep 
2014,Meryl Streep 
1999,Michael Caine 
2002,Michael Caine 
1999,Michael Clarke Duncan 
2013,Michael Fassbender 
2015,Michael Fassbender 
2014,Michael Keaton 
1991,Michael Lerner 
2008,Michael Shannon 
1992,Michelle Pfeiffer 
2005,Michelle Williams 
2010,Michelle Williams 
2011,Michelle Williams 
2008,Mickey Rourke 
1997,Minnie Driver 
1995,Mira Sorvino 
1992,Miranda Richardson 
1994,Miranda Richardson 
2009,Mo'Nique 
1994,Morgan Freeman 
2004,Morgan Freeman 
2009,Morgan Freeman 
2003,Naomi Watts 
2012,Naomi Watts 
2004,Natalie Portman 
2010,Natalie Portman 
1991,Nick Nolte 
1998,Nick Nolte 
2011,Nick Nolte 
1995,Nicolas Cage 
2002,Nicolas Cage 
2001,Nicole Kidman 
2002,Nicole Kidman 
2010,Nicole Kidman 
1994,Nigel Hawthorne 
2011,Octavia Spencer 
2014,Patricia Arquette 
2003,Patricia Clarkson 
2005,Paul Giamatti 
1994,Paul Newman 
2002,Paul Newman 
1994,Paul Scofield 
2006,Penélope Cruz 
2008,Penélope Cruz 
2009,Penélope Cruz 
1993,Pete Postlethwaite 
1997,Peter Fonda 
2006,Peter O'Toole 
2005,Philip Seymour Hoffman 
2007,Philip Seymour Hoffman 
2008,Philip Seymour Hoffman 
2012,Philip Seymour Hoffman 
2002,Queen Latifah 
2012,Quvenzhané Wallis 
1998,Rachel Griffiths 
2015,Rachel McAdams 
2005,Rachel Weisz 
1993,Ralph Fiennes 
1996,Ralph Fiennes 
2005,Reese Witherspoon 
2014,Reese Witherspoon 
2001,Renée Zellweger 
2002,Renée Zellweger 
2003,Renée Zellweger 
1995,Richard Dreyfuss 
1999,Richard Farnsworth 
1990,Richard Harris 
2008,Richard Jenkins 
2006,Rinko Kikuchi 
1990,Robert De Niro 
1991,Robert De Niro 
2012,Robert De Niro 
1992,Robert Downey Jr. 
2008,Robert Downey Jr. 
1997,Robert Duvall 
1998,Robert Duvall 
2014,Robert Duvall 
1997,Robert Forster 
1998,Roberto Benigni 
1991,Robin Williams 
1997,Robin Williams 
2011,Rooney Mara 
2015,Rooney Mara 
2014,Rosamund Pike 
1994,Rosemary Harris 
1993,Rosie Perez 
2007,Ruby Dee 
1999,Russell Crowe 
2000,Russell Crowe 
2001,Russell Crowe 
2006,Ryan Gosling 
2012,Sally Field 
2013,Sally Hawkins 
2002,Salma Hayek 
1999,Samantha Morton 
2003,Samantha Morton 
1994,Samuel L. Jackson 
2009,Sandra Bullock 
2013,Sandra Bullock 
2007,Saoirse Ronan 
2015,Saoirse Ronan 
1995,Sean Penn 
1999,Sean Penn 
2001,Sean Penn 
2003,Sean Penn 
2008,Sean Penn 
1995,Sharon Stone 
2003,Shohreh Aghdashloo 
2001,Sissy Spacek 
2004,Sophie Okonedo 
2009,Stanley Tucci 
1992,Stephen Rea 
2014,Steve Carell 
1993,Stockard Channing 
1991,Susan Sarandon 
1992,Susan Sarandon 
1994,Susan Sarandon 
1995,Susan Sarandon 
2015,Sylvester Stallone 
2008,Taraji P. Henson 
2005,Terrence Howard 
2004,Thomas Haden Church 
2007,Tilda Swinton 
2003,Tim Robbins 
1995,Tim Roth 
1996,Tom Cruise 
1999,Tom Cruise 
1993,Tom Hanks 
1994,Tom Hanks 
1998,Tom Hanks 
2000,Tom Hanks 
2015,Tom Hardy 
2001,Tom Wilkinson 
2007,Tom Wilkinson 
1991,Tommy Lee Jones 
1993,Tommy Lee Jones 
2007,Tommy Lee Jones 
2012,Tommy Lee Jones 
1999,Toni Collette 
1994,Uma Thurman 
1992,Vanessa Redgrave 
2009,Vera Farmiga 
2007,Viggo Mortensen 
2008,Viola Davis 
2011,Viola Davis 
2004,Virginia Madsen 
1991,Warren Beatty 
1990,Whoopi Goldberg 
2001,Will Smith 
2006,Will Smith 
2000,Willem Dafoe 
1996,William H. Macy 
2005,William Hurt 
1993,Winona Ryder 
1994,Winona Ryder 
1996,Woody Harrelson 
2009,Woody Harrelson 
